,team1,team2,result,date
0,fiorentina,torino,V,2020-09-19
0,hellas verona,roma,V,2020-09-19
0,parma,napoli,P,2020-09-20
0,juventus,sampdoria,V,2020-09-20
0,sassuolo,cagliari,N,2020-09-20
0,genoa,crotone,V,2020-09-20
1,milan,bologna,V,2020-09-21
1,cagliari,lazio,P,2020-09-26
1,torino,atalanta,P,2020-09-26
0,inter,fiorentina,V,2020-09-26
1,sampdoria,benevento,P,2020-09-26
1,hellas verona,udinese,V,2020-09-27
1,napoli,genoa,V,2020-09-27
1,roma,juventus,N,2020-09-27
1,crotone,milan,P,2020-09-27
0,spezia,sassuolo,P,2020-09-27
1,bologna,parma,V,2020-09-28
1,benevento,inter,P,2020-09-30
1,lazio,atalanta,P,2020-09-30
1,udinese,spezia,P,2020-09-30
2,fiorentina,sampdoria,P,2020-10-02
2,sassuolo,crotone,V,2020-10-03
2,udinese,roma,P,2020-10-03
2,lazio,inter,N,2020-10-04
2,parma,hellas verona,V,2020-10-04
5,milan,spezia,V,2020-10-04
2,atalanta,cagliari,V,2020-10-04
2,benevento,bologna,V,2020-10-04
3,inter,milan,P,2020-10-17
3,sampdoria,lazio,V,2020-10-17
2,napoli,atalanta,V,2020-10-17
3,crotone,juventus,N,2020-10-17
3,udinese,parma,V,2020-10-18
2,torino,cagliari,P,2020-10-18
3,roma,benevento,V,2020-10-18
3,spezia,fiorentina,N,2020-10-18
3,bologna,sassuolo,P,2020-10-18
3,hellas verona,genoa,N,2020-10-19
4,sassuolo,torino,N,2020-10-23
3,genoa,inter,P,2020-10-24
5,atalanta,sampdoria,P,2020-10-24
5,lazio,bologna,V,2020-10-24
4,fiorentina,udinese,V,2020-10-25
4,cagliari,crotone,V,2020-10-25
4,parma,spezia,N,2020-10-25
4,benevento,napoli,P,2020-10-25
4,juventus,hellas verona,N,2020-10-25
8,milan,roma,N,2020-10-26
6,crotone,atalanta,P,2020-10-31
7,inter,parma,N,2020-10-31
6,bologna,cagliari,V,2020-10-31
7,roma,fiorentina,V,2020-11-01
6,udinese,milan,P,2020-11-01
6,sampdoria,genoa,N,2020-11-01
5,torino,lazio,P,2020-11-01
6,spezia,juventus,P,2020-11-01
6,napoli,sassuolo,P,2020-11-01
6,hellas verona,benevento,V,2020-11-02
6,genoa,torino,P,2020-11-04
6,sassuolo,udinese,N,2020-11-06
7,benevento,spezia,P,2020-11-07
7,cagliari,sampdoria,V,2020-11-07
7,parma,fiorentina,N,2020-11-07
7,torino,crotone,N,2020-11-08
12,milan,hellas verona,N,2020-11-08
7,bologna,napoli,P,2020-11-08
9,atalanta,inter,N,2020-11-08
9,lazio,juventus,N,2020-11-08
7,genoa,roma,P,2020-11-08
9,juventus,cagliari,V,2020-11-21
8,crotone,lazio,P,2020-11-21
8,spezia,atalanta,N,2020-11-21
10,inter,torino,V,2020-11-22
8,hellas verona,sassuolo,P,2020-11-22
9,napoli,milan,P,2020-11-22
8,fiorentina,benevento,P,2020-11-22
8,udinese,genoa,V,2020-11-22
10,roma,parma,V,2020-11-22
8,sampdoria,bologna,P,2020-11-22
12,atalanta,hellas verona,P,2020-11-28
9,benevento,juventus,N,2020-11-28
8,sassuolo,inter,P,2020-11-28
11,napoli,roma,V,2020-11-29
12,lazio,udinese,P,2020-11-29
15,milan,fiorentina,V,2020-11-29
10,bologna,crotone,V,2020-11-29
10,cagliari,spezia,N,2020-11-29
10,genoa,parma,P,2020-11-30
10,torino,sampdoria,N,2020-11-30
13,juventus,torino,V,2020-12-05
11,spezia,lazio,P,2020-12-05
14,inter,bologna,V,2020-12-05
11,hellas verona,cagliari,N,2020-12-06
11,parma,benevento,N,2020-12-06
11,sampdoria,milan,P,2020-12-06
10,crotone,napoli,P,2020-12-06
14,roma,sassuolo,N,2020-12-06
11,fiorentina,genoa,N,2020-12-07
10,sassuolo,benevento,V,2020-12-11
16,lazio,hellas verona,P,2020-12-12
12,torino,udinese,P,2020-12-12
11,crotone,spezia,V,2020-12-12
12,genoa,juventus,P,2020-12-13
15,napoli,sampdoria,V,2020-12-13
12,cagliari,inter,P,2020-12-13
19,milan,parma,N,2020-12-13
15,atalanta,fiorentina,V,2020-12-13
12,bologna,roma,P,2020-12-13
12,benevento,lazio,N,2020-12-15
12,udinese,crotone,N,2020-12-15
13,spezia,bologna,N,2020-12-16
16,juventus,atalanta,N,2020-12-16
13,genoa,milan,N,2020-12-16
13,hellas verona,sampdoria,P,2020-12-16
17,inter,napoli,V,2020-12-16
13,parma,cagliari,N,2020-12-16
13,fiorentina,sassuolo,N,2020-12-16
17,roma,torino,V,2020-12-17
14,fiorentina,hellas verona,N,2020-12-19
14,sampdoria,crotone,V,2020-12-19
14,parma,juventus,P,2020-12-19
13,benevento,genoa,V,2020-12-20
17,atalanta,roma,V,2020-12-20
18,inter,spezia,V,2020-12-20
18,lazio,napoli,V,2020-12-20
14,cagliari,udinese,N,2020-12-20
12,sassuolo,milan,P,2020-12-20
14,torino,bologna,N,2020-12-20
18,juventus,fiorentina,P,2020-12-22
14,crotone,parma,V,2020-12-22
22,milan,lazio,V,2020-12-23
14,udinese,benevento,P,2020-12-23
15,bologna,atalanta,N,2020-12-23
15,sampdoria,sassuolo,P,2020-12-23
15,spezia,genoa,P,2020-12-23
15,hellas verona,inter,P,2020-12-23
19,roma,cagliari,V,2020-12-23
18,napoli,torino,N,2020-12-23
16,cagliari,napoli,P,2021-01-03
20,inter,crotone,V,2021-01-03
16,genoa,lazio,N,2021-01-03
16,parma,torino,P,2021-01-03
19,atalanta,sassuolo,V,2021-01-03
16,spezia,hellas verona,P,2021-01-03
19,juventus,udinese,V,2021-01-03
15,benevento,milan,P,2021-01-03
16,fiorentina,bologna,N,2021-01-03
20,roma,sampdoria,V,2021-01-03
17,bologna,udinese,N,2021-01-06
16,crotone,roma,P,2021-01-06
24,milan,juventus,P,2021-01-06
21,lazio,fiorentina,V,2021-01-06
20,atalanta,parma,V,2021-01-06
17,torino,hellas verona,N,2021-01-06
17,cagliari,benevento,P,2021-01-06
17,sampdoria,inter,V,2021-01-06
20,napoli,spezia,P,2021-01-06
15,sassuolo,genoa,V,2021-01-06
17,benevento,atalanta,P,2021-01-09
25,milan,torino,V,2021-01-09
18,genoa,bologna,V,2021-01-09
18,fiorentina,cagliari,V,2021-01-10
18,hellas verona,crotone,V,2021-01-10
21,juventus,sassuolo,V,2021-01-10
17,udinese,napoli,P,2021-01-10
18,parma,lazio,P,2021-01-10
22,roma,inter,N,2021-01-10
18,spezia,sampdoria,V,2021-01-11
23,lazio,roma,V,2021-01-15
19,sampdoria,udinese,V,2021-01-16
19,bologna,hellas verona,V,2021-01-16
20,torino,spezia,N,2021-01-16
23,atalanta,genoa,N,2021-01-17
18,sassuolo,parma,N,2021-01-17
18,crotone,benevento,V,2021-01-17
24,inter,juventus,V,2021-01-17
23,napoli,fiorentina,V,2021-01-17
20,cagliari,milan,P,2021-01-18
19,udinese,atalanta,N,2021-01-20
19,benevento,torino,N,2021-01-22
25,roma,spezia,V,2021-01-23
21,fiorentina,crotone,V,2021-01-23
28,milan,atalanta,P,2021-01-23
20,udinese,inter,N,2021-01-23
25,lazio,sassuolo,V,2021-01-24
